id,name,control_type,feature_type,inactive,make,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1521781619,Joy of Life Fountain,,Decorative,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Joy_of_Life_Fountain.jpg,East Liberty,9,8,42003111500,2,8,5,3-11,40.46071821,-79.92625483
1087849768,Kennard Park 1,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Kennard_Park_1.jpg,Terrace Village,6,5,42003051000,3,5,2,2-10,40.44322557,-79.97400037
707602709,Kennard Park 2,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/Kennard_Park_2.jpg,Terrace Village,6,5,42003051000,3,5,2,2-10,40.44324438,-79.97335198
37424217,Kennard Park Spray,,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Kennard_Park_Spray.jpg,Terrace Village,6,5,42003051000,3,5,2,2-10,40.4434454,-79.97375031
1758260306,Larimer Basketball Court,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Larimer_Basketball_Court.jpg,Larimer,9,12,42003120400,2,12,5,3-12,40.46630759,-79.9123366
1832931023,Larimer Playground Spray,,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Larimer_Playground_Spray.jpg,Larimer,9,12,42003120400,2,12,5,3-12,40.46687658,-79.91336041
1759829406,Leolyn Park,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Leolyn_Park.jpg,Carrick,4,29,42003290200,3,29,3,4-12,40.39915205,-79.98611965
596435290,Leslie Playground,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Leslie_Playground.jpg,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.47269069,-79.9580857
1483244069,Leslie Playground Spray,,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Leslie_Playground_Spray.jpg,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.47269069,-79.9580857
825439292,Lincoln Place Park,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Lincoln_Place_Park.jpg,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.36991404,-79.91746084
402622431,Magee Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Magee_Park.jpg,Greenfield,5,15,42003151700,3,15,4,2-15,40.42514243,-79.93718061
